"rank","sample_count","name_muni"
1,286,"Porto Velho"
2,167,"Guajará-Mirim"
3,152,"Vilhena"
4,146,"Alta Floresta D'oeste"
5,132,"Machadinho D'oeste"
6,108,"São Francisco Do Guaporé"
7,101,"Corumbiara"
8,96,"Cacoal"
9,93,"Costa Marques"
10,88,"Chupinguaia"
11,83,"Pimenta Bueno"
12,76,"Pimenteiras Do Oeste"
13,67,"Espigão D'oeste"
14,58,"Alto Alegre Dos Parecis"
15,53,"Colorado Do Oeste"
16,49,"Nova Mamoré"
17,45,"São Miguel Do Guaporé"
18,44,"Parecis"
19,44,"Vale Do Anari"
20,41,"Cerejeiras"
21,40,"Candeias Do Jamari"
22,38,"Cabixi"
23,37,"Ji-Paraná"
24,34,"Alvorada D'oeste"
25,33,"Mirante Da Serra"
26,31,"Ariquemes"
27,31,"Cujubim"
28,31,"Nova Brasilândia D'oeste"
29,30,"Rolim De Moura"
30,29,"Presidente Médici"
31,26,"Santa Luzia D'oeste"
32,24,"Theobroma"
33,23,"Ouro Preto Do Oeste"
34,22,"Itapuã Do Oeste"
35,22,"Seringueiras"
36,19,"Castanheiras"
37,18,"Ministro Andreazza"
38,16,"Campo Novo De Rondônia"
39,16,"Novo Horizonte Do Oeste"
40,15,"Jaru"
41,15,"Rio Crespo"
42,13,"Alto Paraíso"
43,13,"São Felipe D'oeste"
44,12,"Urupá"
45,10,"Vale Do Paraíso"
46,8,"Monte Negro"
47,8,"Teixeirópolis"
48,7,"Buritis"
49,6,"Primavera De Rondônia"
50,5,"Governador Jorge Teixeira"
51,4,"Cacaulândia"
52,3,"Nova União"
